3,102
6,54
0,68
5,74
5,17
2,200
5,146
3,86
6,198
6,1
6,140
6,77
3,124
3,134
2,49
4,44
0,132
0,116
5,96
5,3
5,116
3,121
1,44
2,98
5,197
4,172
3,129
0,30
0,174
6,113
5,40
6,61
1,177
6,95
2,188
1,104
6,48
2,97
5,161
6,74
0,76
6,30
4,152
5,49
6,93
1,58
5,200
3,97
0,170
5,94
1,149
0,158
2,120
1,180
2,7
2,7
5,197
6,104
0,127
6,22
1,153
0,119
5,188
1,78
2,85
5,197
6,100
1,10
0,117
1,4
6,146
3,4
0,45
1,119
3,16
4,97
1,40
2,64
1,93
3,131
0,88
5,165
5,3
4,53
1,113
1,24
3,167
5,53
6,1
1,88
2,38
1,33
1,70
6,76
1,158
3,151
4,193
4,56
3,41
0,176
6,142
4,68
2,134
6,60
0,69
4,60
6,92
0,39
2,192
4,104
3,179
2,146
0,51
3,165
4,138
6,42
4,92
3,154
5,172
6,108
4,167
6,147
0,52
6,95
2,83
4,163
1,4
1,2
2,75
5,41
0,81
1,159
0,74
3,89
1,49
0,139
2,4
5,50
5,61
4,138
1,95
0,18
4,23
6,95
5,134
0,98
1,15
4,51
2,6
5,177
