1,None
3,None
0,None
0,None
2,None
1,None
1,None
0,None
0,None
4,Burn
2,None
2,None
2,None
4,Scratch
0,Burn
4,None
0,None
1,None
1,None
1,None
2,None
0,None
3,Scratch
1,None
0,None
4,None
0,None
0,None
2,None
3,None
1,None
2,None
2,None
2,None
1,None
4,Cut
0,None
0,Scratch
4,None
3,Scratch
0,None
4,None
0,Scratch
4,Burn
4,Scratch
3,None
0,None
1,None
4,None
4,None
0,None
3,None
2,None
0,Cut
4,None
4,None
0,None
1,Scratch
4,None
1,Burn
2,None
4,None
0,None
0,None
3,None
3,None
3,None
0,None
3,Burn
4,None
2,None
0,None
2,None
4,Bite
0,None
0,None
0,None
0,None
0,None
1,None
0,None
4,None
4,Bite
4,None
0,None
3,Cut
0,None
2,Cut
3,None
0,None
0,None
3,None
3,None
1,None
2,None
2,None
1,Cut
0,None
4,None
4,None
1,None
3,None
4,None
3,None
4,Scratch
3,None
2,None
4,None
2,None
3,Scratch
2,Cut
1,None
1,Bite
4,None
4,None
3,None
4,None
1,Bite
4,Burn
3,None
0,None
4,None
1,None
3,None
1,Cut
4,None
4,None
4,None
3,None
2,None
4,None
3,None
1,None
4,None
0,None
1,None
2,None
1,Bite
1,Bite
3,None
3,None
2,None
3,None
0,Bite
3,None
1,Cut
2,None
4,Burn
3,None
1,Scratch
