0,130
5,154
4,64
0,31
5,141
6,33
1,96
6,155
4,162
3,42
1,183
2,58
5,166
5,161
2,44
0,148
0,134
4,192
4,144
2,109
1,181
2,21
5,77
1,190
3,21
3,145
0,139
3,2
0,66
5,169
2,153
6,109
5,169
3,0
3,112
0,68
6,26
5,44
6,152
5,95
5,154
2,114
5,92
0,57
6,24
3,104
1,48
6,181
1,180
2,196
6,193
4,149
3,137
0,143
0,106
3,175
4,124
4,88
5,36
4,72
5,105
0,121
3,160
4,152
1,118
2,163
6,165
2,197
4,175
5,151
6,54
0,70
6,179
2,191
2,186
1,164
2,123
1,33
1,79
0,140
4,65
0,132
2,110
1,67
1,152
3,172
5,34
5,142
4,114
1,128
5,81
3,97
2,3
4,28
3,31
6,55
3,23
5,164
5,146
6,61
1,64
5,58
1,96
2,137
3,136
0,18
0,159
5,101
1,183
5,180
5,76
5,111
4,22
0,195
5,129
0,43
1,32
5,149
0,93
3,128
2,197
2,70
5,66
1,28
3,46
4,167
0,18
5,105
6,46
6,93
1,6
3,4
5,104
2,104
2,194
5,153
1,73
1,153
1,152
5,177
2,25
1,23
5,195
2,153
1,166
5,81
6,169
4,62
1,0
5,155
